benchmark,problem,group,prover,mode,expected,result,time_s,pass
grounding,GRND001,,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.739,PASS
grounding,GRND002,,Vampire 5.0,casc,Theorem,Theorem,0.01,PASS
grounding,GRND003,,Vampire 5.0,casc,Theorem,Theorem,0.005,PASS
grounding,GRND004,,Vampire 5.0,casc,Theorem,Theorem,0.007,PASS
grounding,GRND005,,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.008,PASS
grounding,GRND006,,Vampire 5.0,casc,Theorem,Theorem,0.008,PASS
grounding,GRND007-open,,Vampire 5.0,casc,Theorem,Theorem,0.007,PASS
grounding,GRND007-closed,,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.447,PASS
grounding,GRND008-sanctioned,,Vampire 5.0,casc,Theorem,Theorem,0.006,PASS
grounding,GRND008-regimented,,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.007,PASS
grounding,GRND009-immunity,,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.006,PASS
grounding,GRND009-no-immunity,,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.005,PASS
grounding,GRND010-strong-perm,,Vampire 5.0,casc,Theorem,Theorem,0.005,PASS
grounding,GRND011-obl-relator,,Vampire 5.0,casc,Theorem,Theorem,0.007,PASS
grounding,GRND012-corr-duty,,Vampire 5.0,casc,Theorem,Theorem,0.008,PASS
grounding,GRND013-corr-power,,Vampire 5.0,casc,Theorem,Theorem,0.009,PASS
grounding,GRND014-corr-immunity,,Vampire 5.0,casc,Theorem,Theorem,0.012,PASS
grounding,GRND015-unique-founding,,Vampire 5.0,casc,Theorem,Theorem,0.005,PASS
grounding,GRND016-conflict-relator,,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.005,PASS
grounding,GRND017-violation-chain,,Vampire 5.0,casc,Theorem,Theorem,0.009,PASS
grounding,GRND018-about-event,,Vampire 5.0,casc,Theorem,Theorem,0.008,PASS
grounding,GRND019-two-policy-conflict,,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.007,PASS
grounding,GRND020-strong-perm-full-h2,,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.006,PASS
grounding,GRND021-remedy-chain,,Vampire 5.0,casc,Theorem,Theorem,0.006,PASS
grounding,GRND022-corr-nonunique,,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.007,PASS
grounding,GRND023-policy-issuance,,Vampire 5.0,casc,Theorem,Theorem,0.005,PASS
grounding,GRND024-obl-proh-coexist,,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.476,PASS
grounding,GRND025-unique-founding-rem,,Vampire 5.0,casc,Theorem,Theorem,0.007,PASS
grounding,GRND026-unique-founding-imm,,Vampire 5.0,casc,Theorem,Theorem,0.005,PASS
grounding,GRND027-unique-event-rem,,Vampire 5.0,casc,Theorem,Theorem,0.004,PASS
grounding,GRND028-unique-event-imm,,Vampire 5.0,casc,Theorem,Theorem,0.005,PASS
grounding,GRND029-b2-power-about-event,,Vampire 5.0,casc,Theorem,Theorem,0.004,PASS
grounding,GRND030-b3-subjection-about-event,,Vampire 5.0,casc,Theorem,Theorem,0.004,PASS
grounding,GRND031-odrl-rel-is-legal-rel,,Vampire 5.0,casc,Theorem,Theorem,0.004,PASS
grounding,GRND032-odrl-rel-typing-rem,,Vampire 5.0,casc,Theorem,Theorem,0.004,PASS
grounding,GRND033-odrl-rel-typing-imm,,Vampire 5.0,casc,Theorem,Theorem,0.004,PASS
grounding,GRND034-disability-exists,,Vampire 5.0,casc,Theorem,Theorem,0.005,PASS
grounding,GRND035-dual-rule-remedy-chain,,Vampire 5.0,casc,Theorem,Theorem,0.008,PASS
grounding,GRND036-dual-rule-unique-rem,,Vampire 5.0,casc,Theorem,Theorem,0.005,PASS
grounding,GRND001,,Z3 4.12.2,default,sat,sat-timeout,30.119,PASS
grounding,GRND002,,Z3 4.12.2,default,unsat,unsat,0.072,PASS
grounding,GRND003,,Z3 4.12.2,default,unsat,unsat,0.023,PASS
grounding,GRND004,,Z3 4.12.2,default,unsat,unsat,0.027,PASS
grounding,GRND005,,Z3 4.12.2,default,unsat,unsat,0.023,PASS
grounding,GRND006,,Z3 4.12.2,default,unsat,unsat,0.062,PASS
grounding,GRND007-open,,Z3 4.12.2,default,unsat,unsat,0.066,PASS
grounding,GRND007-closed,,Z3 4.12.2,default,sat,sat-timeout,30.006,PASS
grounding,GRND008-sanctioned,,Z3 4.12.2,default,unsat,unsat,0.061,PASS
grounding,GRND008-regimented,,Z3 4.12.2,default,unsat,unsat,0.027,PASS
grounding,GRND009-immunity,,Z3 4.12.2,default,unsat,unsat,0.033,PASS
grounding,GRND009-no-immunity,,Z3 4.12.2,default,unsat,unsat,0.031,PASS
grounding,GRND010-strong-perm,,Z3 4.12.2,default,unsat,unsat,0.061,PASS
grounding,GRND011-obl-relator,,Z3 4.12.2,default,unsat,unsat,0.031,PASS
grounding,GRND012-corr-duty,,Z3 4.12.2,default,unsat,unsat,0.363,PASS
grounding,GRND013-corr-power,,Z3 4.12.2,default,unsat,unsat,0.071,PASS
grounding,GRND014-corr-immunity,,Z3 4.12.2,default,unsat,unsat,0.042,PASS
grounding,GRND015-unique-founding,,Z3 4.12.2,default,unsat,unsat,0.026,PASS
grounding,GRND016-conflict-relator,,Z3 4.12.2,default,unsat,unsat,0.028,PASS
grounding,GRND017-violation-chain,,Z3 4.12.2,default,unsat,unsat,0.043,PASS
grounding,GRND018-about-event,,Z3 4.12.2,default,unsat,unsat,0.027,PASS
grounding,GRND019-two-policy-conflict,,Z3 4.12.2,default,unsat,unsat,0.03,PASS
grounding,GRND020-strong-perm-full-h2,,Z3 4.12.2,default,unsat,unsat,0.037,PASS
grounding,GRND021-remedy-chain,,Z3 4.12.2,default,unsat,unsat,0.029,PASS
grounding,GRND022-corr-nonunique,,Z3 4.12.2,default,unsat,unsat,0.04,PASS
grounding,GRND023-policy-issuance,,Z3 4.12.2,default,unsat,unsat,0.03,PASS
grounding,GRND024-obl-proh-coexist,,Z3 4.12.2,default,sat,sat-timeout,30.157,PASS
grounding,GRND025-unique-founding-rem,,Z3 4.12.2,default,unsat,unsat,0.038,PASS
grounding,GRND026-unique-founding-imm,,Z3 4.12.2,default,unsat,unsat,0.022,PASS
grounding,GRND027-unique-event-rem,,Z3 4.12.2,default,unsat,unsat,0.03,PASS
grounding,GRND028-unique-event-imm,,Z3 4.12.2,default,unsat,unsat,0.029,PASS
grounding,GRND029-b2-power-about-event,,Z3 4.12.2,default,unsat,unsat,0.022,PASS
grounding,GRND030-b3-subjection-about-event,,Z3 4.12.2,default,unsat,unsat,0.082,PASS
grounding,GRND031-odrl-rel-is-legal-rel,,Z3 4.12.2,default,unsat,unsat,0.037,PASS
grounding,GRND032-odrl-rel-typing-rem,,Z3 4.12.2,default,unsat,unsat,0.023,PASS
grounding,GRND033-odrl-rel-typing-imm,,Z3 4.12.2,default,unsat,unsat,0.031,PASS
grounding,GRND034-disability-exists,,Z3 4.12.2,default,unsat,unsat,0.033,PASS
grounding,GRND035-dual-rule-remedy-chain,,Z3 4.12.2,default,unsat,unsat,0.031,PASS
grounding,GRND036-dual-rule-unique-rem,,Z3 4.12.2,default,unsat,unsat,0.029,PASS
